nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
Hiersac,16163,211601638,LNC,Non classé
Hiesse,16164,211601646,NC,Non classé
Houlette,16165,211601653,NC,Non classé
L'Isle-D'Espagnac,16166,211601661,LDVG,Gauche
Jarnac,16167,211601679,LDVD,Droite
Jauldes,16168,211601687,NC,Non classé
Javrezac,16169,211601695,NC,Non classé
Juignac,16170,211601703,NC,Non classé
Juillac-Le-Coq,16171,211601711,NC,Non classé
Juillé,16173,211601737,NC,Non classé
Julienne,16174,211601745,NC,Non classé
Val Des Vignes,16175,200054187,LNC,Non classé
Lachaise,16176,211601760,NC,Non classé
Ladiville,16177,211601778,NC,Non classé
Lagarde-Sur-Le-Né,16178,211601786,NC,Non classé
Laprade,16180,211601802,NC,Non classé
Lessac,16181,211601810,NC,Non classé
Lesterps,16182,211601828,NC,Non classé
Lésignac-Durand,16183,211601836,NC,Non classé
Lichères,16184,211601844,,
Ligné,16185,211601851,,
Lignières-Ambleville,16186,211600101,NC,Non classé
Linars,16187,211601877,LNC,Non classé
Le Lindois,16188,211601885,NC,Non classé
Londigny,16189,211601893,NC,Non classé
Longré,16190,211601901,NC,Non classé
Lonnes,16191,211601919,NC,Non classé
Terres-De-Haute-Charente,16192,200083350,LDVG,Gauche
Louzac-Saint-André,16193,211601935,NC,Non classé
Lupsault,16194,211601943,NC,Non classé
Lussac,16195,211601950,NC,Non classé
Luxé,16196,211601968,,
La Magdeleine,16197,211601976,NC,Non classé
Magnac-Lavalette-Villars,16198,211601984,NC,Non classé
Magnac-Sur-Touvre,16199,211601992,LNC,Non classé
Maine-De-Boixe,16200,211602008,NC,Non classé
Mainzac,16203,211602032,NC,Non classé
Bellevigne,16204,200062941,LNC,Non classé
Manot,16205,211602057,NC,Non classé
Mansle-Les-Fontaines,16206,211602065,LNC,Non classé
Marcillac-Lanville,16207,211602073,NC,Non classé
Mareuil,16208,211602081,NC,Non classé
Marillac-Le-Franc,16209,211602099,NC,Non classé
Marsac,16210,211602107,NC,Non classé
Marthon,16211,211602115,NC,Non classé
Massignac,16212,211602123,NC,Non classé
Mazerolles,16213,211602131,NC,Non classé
Médillac,16215,211602156,NC,Non classé
Mérignac,16216,211602164,NC,Non classé
Merpins,16217,211602172,,
Mesnac,16218,211602180,NC,Non classé
Les Métairies,16220,211602206,NC,Non classé
Mons,16221,211602214,NC,Non classé
Montboyer,16222,211602222,NC,Non classé
Montbron,16223,211602230,LNC,Non classé
Montmérac,16224,200058212,NC,Non classé
Montemboeuf,16225,211602255,NC,Non classé
Montignac-Charente,16226,211602263,NC,Non classé
Montignac-Le-Coq,16227,211602271,NC,Non classé
Montjean,16229,211602297,NC,Non classé
Montmoreau,16230,200063105,LNC,Non classé
Montrollet,16231,211602313,NC,Non classé
Mornac,16232,211602321,,
Mosnac-Saint-Simeux,16233,211602339,,
Moulidars,16234,211602347,NC,Non classé
Mouthiers-Sur-Boëme,16236,211602362,,
Mouton,16237,211602370,NC,Non classé
Moutonneau,16238,211602388,,
Mouzon,16239,211602396,NC,Non classé
Nabinaud,16240,211602404,NC,Non classé
Nanclars,16241,211602412,,
Nanteuil-En-Vallée,16242,211602420,LNC,Non classé
Nercillac,16243,211602438,LNC,Non classé
Nersac,16244,211602446,LNC,Non classé
Nieuil,16245,211602453,NC,Non classé
Nonac,16246,211602461,NC,Non classé
Oradour,16248,211602487,NC,Non classé
Oradour-Fanais,16249,211602495,NC,Non classé
Orgedeuil,16250,211602503,NC,Non classé
Oriolles,16251,211602511,NC,Non classé
Orival,16252,211602529,NC,Non classé
Paizay-Naudouin-Embourie,16253,211602537,NC,Non classé
Palluaud,16254,211602545,NC,Non classé
Parzac,16255,211602552,NC,Non classé
Passirac,16256,211602560,NC,Non classé
Pérignac,16258,211602586,NC,Non classé
Pillac,16260,211602602,NC,Non classé
Les Pins,16261,211602610,NC,Non classé
Plassac-Rouffiac,16263,211602636,NC,Non classé
Pleuville,16264,211602644,NC,Non classé
Poullignac,16267,211602677,NC,Non classé
Poursac,16268,211602685,NC,Non classé
Pranzac,16269,211602693,NC,Non classé
Pressignac,16270,211602701,NC,Non classé
Puymoyen,16271,211602719,LNC,Non classé
Puyréaux,16272,211602727,NC,Non classé
Raix,16273,211602735,NC,Non classé
Ranville-Breuillaud,16275,211602750,NC,Non classé
Reignac,16276,211602768,NC,Non classé
Réparsac,16277,211602776,NC,Non classé
Rioux-Martin,16279,211602792,NC,Non classé
Rivières,16280,211602800,LNC,Non classé
La Rochefoucauld-En-Angoumois,16281,200083293,,
La Rochette,16282,211602826,NC,Non classé
Ronsenac,16283,211602834,,
Rouffiac,16284,211602842,NC,Non classé
Rougnac,16285,211602859,NC,Non classé
Rouillac,16286,200085249,LNC,Non classé
Roullet-Saint-Estèphe,16287,211602875,LDVC,Centre
Roussines,16289,211602891,NC,Non classé
Rouzède,16290,211602909,NC,Non classé
Ruelle-Sur-Touvre,16291,211602917,LDVG,Gauche
Ruffec,16292,211602925,LNC,Non classé
Saint-Adjutory,16293,211602933,,
Saint-Amant-De-Boixe,16295,211602958,,
Graves Saint Amant,16297,211604277,NC,Non classé
Saint-Amant-De-Nouère,16298,211602982,NC,Non classé
