nom_commune,cog_commune,siren_commune,nuance_politique,famille_nuance
L'Abergement-Clémenciat,01001,210100012,NC,Non classé
L'Abergement-De-Varey,01002,210100020,NC,Non classé
Ambérieu-En-Bugey,01004,210100046,LDVC,Centre
Ambérieux-En-Dombes,01005,210100053,,
Ambléon,01006,210100061,NC,Non classé
Ambronay,01007,210100079,LNC,Non classé
Ambutrix,01008,210100087,NC,Non classé
Andert-Et-Condon,01009,210100095,NC,Non classé
Anglefort,01010,210100103,LNC,Non classé
Apremont,01011,210100111,NC,Non classé
Aranc,01012,210100129,NC,Non classé
Arandas,01013,210100137,NC,Non classé
Arbent,01014,210100145,LNC,Non classé
Arboys En Bugey,01015,200053668,NC,Non classé
Arbigny,01016,210100160,NC,Non classé
Argis,01017,210100178,,
Armix,01019,210100194,NC,Non classé
Ars-Sur-Formans,01021,210100210,LNC,Non classé
Artemare,01022,210100228,LNC,Non classé
Asnières-Sur-Saône,01023,210100236,NC,Non classé
Attignat,01024,210100244,LNC,Non classé
Bâgé-Dommartin,01025,200077220,LDIV,Courants politiques divers
Bâgé-Le-Châtel,01026,210100269,NC,Non classé
Balan,01027,210100277,LNC,Non classé
Baneins,01028,210100285,NC,Non classé
Beaupont,01029,210100293,NC,Non classé
Beauregard,01030,210100301,NC,Non classé
Bellignat,01031,210100319,LDVG,Gauche
Béligneux,01032,210100327,,
Valserhône,01033,200083863,LDVD,Droite
Belley,01034,210100343,LDVD,Droite
Belleydoux,01035,210100350,NC,Non classé
Valromey-Sur-Seran,01036,200086411,LNC,Non classé
Bénonces,01037,210100376,NC,Non classé
Bény,01038,210100384,NC,Non classé
Béréziat,01040,210100400,NC,Non classé
Bettant,01041,210100418,NC,Non classé
Bey,01042,210100426,NC,Non classé
Beynost,01043,210100434,LDVD,Droite
Billiat,01044,210100442,NC,Non classé
Birieux,01045,210100459,NC,Non classé
Biziat,01046,210100467,NC,Non classé
Blyes,01047,210100475,LNC,Non classé
La Boisse,01049,210100491,LNC,Non classé
Boissey,01050,210100509,NC,Non classé
Bolozon,01051,210100517,NC,Non classé
Bouligneux,01052,210100525,NC,Non classé
Bourg-En-Bresse,01053,210100533,LUG,Gauche
Bourg-Saint-Christophe,01054,210100541,LNC,Non classé
Boyeux-Saint-Jérôme,01056,210100566,NC,Non classé
Boz,01057,210100574,NC,Non classé
Brégnier-Cordon,01058,210100582,NC,Non classé
Brénod,01060,210100608,NC,Non classé
Brens,01061,210100616,LNC,Non classé
Bressolles,01062,210100624,NC,Non classé
Brion,01063,210100632,NC,Non classé
Briord,01064,210100640,LNC,Non classé
Buellas,01065,210100657,,
La Burbanche,01066,210100665,NC,Non classé
Ceignes,01067,210100673,NC,Non classé
Cerdon,01068,210100681,NC,Non classé
Certines,01069,210100699,,
Cessy,01071,210100715,LDVD,Droite
Ceyzériat,01072,210100723,LNC,Non classé
Ceyzérieu,01073,210100731,LNC,Non classé
Chalamont,01074,210100749,LNC,Non classé
Chaleins,01075,210100756,LNC,Non classé
Chaley,01076,210100764,NC,Non classé
Challes-La-Montagne,01077,210100772,NC,Non classé
Challex,01078,210100780,,
Champagne-En-Valromey,01079,210100798,NC,Non classé
Champdor-Corcelles,01080,200056695,NC,Non classé
Champfromier,01081,210100814,NC,Non classé
Chanay,01082,210100822,,
Chaneins,01083,210100830,NC,Non classé
Chanoz-Châtenay,01084,210100848,NC,Non classé
La Chapelle-Du-Châtelard,01085,210100855,NC,Non classé
Charix,01087,210100871,NC,Non classé
Charnoz-Sur-Ain,01088,210100889,NC,Non classé
Château-Gaillard,01089,210100897,LNC,Non classé
Châtenay,01090,210100905,NC,Non classé
Châtillon-La-Palud,01092,210100921,LNC,Non classé
Châtillon-Sur-Chalaronne,01093,210100939,LDVD,Droite
Chavannes-Sur-Reyssouze,01094,210100947,NC,Non classé
Nivigne Et Suran,01095,200062537,NC,Non classé
Chaveyriat,01096,210100962,,
Chazey-Bons,01098,200063121,LNC,Non classé
Chazey-Sur-Ain,01099,210100996,LNC,Non classé
Cheignieu-La-Balme,01100,210101002,NC,Non classé
Chevillard,01101,210101010,NC,Non classé
Chevroux,01102,210101028,NC,Non classé
Chézery-Forens,01104,210101044,NC,Non classé
Civrieux,01105,210101051,LNC,Non classé
Cize,01106,210101069,NC,Non classé
Cleyzieu,01107,210101077,NC,Non classé
Coligny,01108,210101085,LNC,Non classé
Collonges,01109,210101093,LNC,Non classé
Colomieu,01110,210101101,,
Conand,01111,210101119,NC,Non classé
Condamine,01112,210101127,NC,Non classé
Condeissiat,01113,210101135,NC,Non classé
Confort,01114,210101143,NC,Non classé
Confrançon,01115,210101150,LNC,Non classé
Contrevoz,01116,210101168,NC,Non classé
Conzieu,01117,210101176,NC,Non classé
Corbonod,01118,210101184,LNC,Non classé
Corlier,01121,210101218,NC,Non classé
Cormoranche-Sur-Saône,01123,210101234,LNC,Non classé
Cormoz,01124,210101242,NC,Non classé
Corveissiat,01125,210101259,NC,Non classé
Courmangoux,01127,210101275,NC,Non classé
Courtes,01128,210101283,NC,Non classé
Crans,01129,210101291,NC,Non classé
Bresse Vallons,01130,200086965,LNC,Non classé
Cressin-Rochefort,01133,210101333,NC,Non classé
Crottet,01134,210101341,LNC,Non classé
Crozet,01135,210101358,LNC,Non classé
Cruzilles-Lès-Mépillat,01136,210101366,NC,Non classé
Culoz-Béon,01138,210101382,LNC,Non classé
Curciat-Dongalon,01139,210101390,NC,Non classé
Curtafond,01140,210101408,NC,Non classé
Cuzieu,01141,210101416,NC,Non classé
Dagneux,01142,210101424,,
Divonne-Les-Bains,01143,210101432,LDVD,Droite
Dompierre-Sur-Veyle,01145,210101457,LNC,Non classé
Dompierre-Sur-Chalaronne,01146,210101465,NC,Non classé
Domsure,01147,210101473,NC,Non classé
Dortan,01148,210101481,LNC,Non classé
Douvres,01149,210101499,LNC,Non classé
Drom,01150,210101507,NC,Non classé
Druillat,01151,210101515,LNC,Non classé
Echallon,01152,210101523,NC,Non classé
Echenevex,01153,210101531,LNC,Non classé
Evosges,01155,210101556,NC,Non classé
Faramans,01156,210101564,NC,Non classé
Fareins,01157,210101572,LNC,Non classé
Farges,01158,210101580,LNC,Non classé
Feillens,01159,210101598,LNC,Non classé
Ferney-Voltaire,01160,210101606,LDVD,Droite
Flaxieu,01162,210101622,NC,Non classé
Foissiat,01163,210101630,LNC,Non classé
Francheleins,01165,210101655,LNC,Non classé
Frans,01166,210101663,LNC,Non classé
Garnerans,01167,210101671,NC,Non classé
Genouilleux,01169,210101697,NC,Non classé
Beard-Géovreissiat,01170,210101705,LNC,Non classé
Géovreisset,01171,210101713,NC,Non classé
Gex,01173,210101739,LDVD,Droite
Giron,01174,210101747,NC,Non classé
Gorrevod,01175,210101754,NC,Non classé
Grand-Corent,01177,210101770,NC,Non classé
Grièges,01179,210101796,LNC,Non classé
Grilly,01180,210101804,NC,Non classé
Groissiat,01181,210101812,LNC,Non classé
Guéreins,01183,210101838,LNC,Non classé
Hautecourt-Romanèche,01184,210101846,NC,Non classé
Plateau D'Hauteville,01185,200086122,LDVD,Droite
Haut Valromey,01187,200053676,NC,Non classé
Illiat,01188,210101887,NC,Non classé
Injoux-Génissiat,01189,210101895,,
Innimond,01190,210101903,NC,Non classé
Izenave,01191,210101911,NC,Non classé
Izernore,01192,210101929,LNC,Non classé
Izieu,01193,210101937,NC,Non classé
Jassans-Riottier,01194,210101945,LDVD,Droite
Jasseron,01195,210101952,LNC,Non classé
Jayat,01196,210101960,LNC,Non classé
Journans,01197,210101978,NC,Non classé
Joyeux,01198,210101986,NC,Non classé
Jujurieux,01199,210101994,LNC,Non classé
Labalme,01200,210102000,NC,Non classé
Lagnieu,01202,210102026,LDVD,Droite
Laiz,01203,210102034,LNC,Non classé
Le Poizat-Lalleyriat,01204,200053395,NC,Non classé
Lantenay,01206,210102067,NC,Non classé
Lapeyrouse,01207,210102075,NC,Non classé
Lavours,01208,210102083,NC,Non classé
Léaz,01209,210102091,NC,Non classé
Lélex,01210,210102109,NC,Non classé
Lent,01211,210102117,LNC,Non classé
Lescheroux,01212,210102125,NC,Non classé
Leyment,01213,210102133,,
Leyssard,01214,210102141,NC,Non classé
Surjoux-Lhopital,01215,200085306,NC,Non classé
Lhuis,01216,210102166,NC,Non classé
Lompnas,01219,210102190,NC,Non classé
Loyettes,01224,210102240,LNC,Non classé
Lurcy,01225,210102257,NC,Non classé
Magnieu,01227,200084978,NC,Non classé
Maillat,01228,210102281,NC,Non classé
Malafretaz,01229,210102299,LNC,Non classé
Mantenay-Montlin,01230,210102307,NC,Non classé
Manziat,01231,210102315,LNC,Non classé
Marboz,01232,210102323,LNC,Non classé
Marchamp,01233,210102331,NC,Non classé
Marignieu,01234,210102349,NC,Non classé
Marlieux,01235,210102356,LNC,Non classé
Marsonnas,01236,210102364,NC,Non classé
Martignat,01237,210102372,LNC,Non classé
Massieux,01238,210102380,LNC,Non classé
Massignieu-De-Rives,01239,210102398,NC,Non classé
Matafelon-Granges,01240,210102406,NC,Non classé
Meillonnas,01241,210102414,LNC,Non classé
Mérignat,01242,210102422,NC,Non classé
Messimy-Sur-Saône,01243,210102430,,
Meximieux,01244,210102448,LDVD,Droite
Bohas-Meyriat-Rignat,01245,210102455,NC,Non classé
Mézériat,01246,210102463,LNC,Non classé
Mijoux,01247,210102471,NC,Non classé
Mionnay,01248,210102489,,
Miribel,01249,210102497,LDVD,Droite
Misérieux,01250,210102505,LNC,Non classé
Mogneneins,01252,210102521,NC,Non classé
Montagnat,01254,210102547,LNC,Non classé
Montagnieu,01255,210102554,NC,Non classé
Montanges,01257,210102570,NC,Non classé
Montceaux,01258,210102588,LNC,Non classé
Montcet,01259,210102596,NC,Non classé
Le Montellier,01260,210102604,NC,Non classé
Monthieux,01261,210102612,NC,Non classé
Montluel,01262,210102620,,
Montmerle-Sur-Saône,01263,210102638,LDVD,Droite
Montracol,01264,210102646,LNC,Non classé
Montréal-La-Cluse,01265,210102653,LNC,Non classé
Montrevel-En-Bresse,01266,210102661,LNC,Non classé
Nurieux-Volognat,01267,210102679,LNC,Non classé
Murs-Et-Gélignieux,01268,210102687,NC,Non classé
Nantua,01269,210102695,LDVD,Droite
Neuville-Les-Dames,01272,210102729,LNC,Non classé
Neuville-Sur-Ain,01273,210102737,LNC,Non classé
Les Neyrolles,01274,210102745,NC,Non classé
Neyron,01275,210102752,,
Niévroz,01276,210102760,LNC,Non classé
Nivollet-Montgriffon,01277,210102778,NC,Non classé
Oncieu,01279,210102794,NC,Non classé
Ordonnaz,01280,210102802,NC,Non classé
Ornex,01281,210102810,,
Outriaz,01282,210102828,NC,Non classé
Oyonnax,01283,210102836,LDVD,Droite
Ozan,01284,210102844,,
Parcieux,01285,210102851,,
Parves Et Nattages,01286,200059913,NC,Non classé
Péron,01288,210102885,,
Péronnas,01289,210102893,,
Pérouges,01290,210102901,,
Perrex,01291,210102919,NC,Non classé
Peyriat,01293,210102935,NC,Non classé
Peyrieu,01294,210102943,NC,Non classé
Peyzieux-Sur-Saône,01295,210102950,NC,Non classé
Pirajoux,01296,210102968,NC,Non classé
Pizay,01297,210102976,NC,Non classé
Plagne,01298,210102984,NC,Non classé
Le Plantay,01299,210102992,NC,Non classé
Polliat,01301,210103016,LNC,Non classé
Pollieu,01302,210103024,NC,Non classé
Poncin,01303,210103032,LNC,Non classé
Pont-D'Ain,01304,210103040,,
Pont-De-Vaux,01305,210103057,LNC,Non classé
Pont-De-Veyle,01306,210103065,LNC,Non classé
Port,01307,210103073,NC,Non classé
Pougny,01308,210103081,NC,Non classé
Pouillat,01309,210103099,NC,Non classé
Prémeyzel,01310,210103107,NC,Non classé
Prémillieu,01311,210103115,NC,Non classé
Prévessin-Moëns,01313,210103131,LDVD,Droite
Priay,01314,210103149,LNC,Non classé
Ramasse,01317,210103172,NC,Non classé
Rancé,01318,210103180,NC,Non classé
Relevant,01319,210103198,NC,Non classé
Replonges,01320,210103206,LDVD,Droite
Revonnas,01321,210103214,NC,Non classé
Reyrieux,01322,210103222,LDIV,Courants politiques divers
Reyssouze,01323,210103230,NC,Non classé
Rignieux-Le-Franc,01325,210103255,NC,Non classé
Romans,01328,210103289,NC,Non classé
Rossillon,01329,210103297,NC,Non classé
Ruffieu,01330,210103305,NC,Non classé
Saint-Alban,01331,210103313,NC,Non classé
Saint-André-De-Bâgé,01332,210103321,NC,Non classé
Saint-André-De-Corcy,01333,210103339,LNC,Non classé
Saint-André-D'Huiriat,01334,210103347,NC,Non classé
Saint-André-Le-Bouchoux,01335,210103354,NC,Non classé
Saint-André-Sur-Vieux-Jonc,01336,210103362,LNC,Non classé
Saint-Bénigne,01337,210103370,LNC,Non classé
Groslée-Saint-Benoît,01338,200060143,LNC,Non classé
Saint-Bernard,01339,210103396,LNC,Non classé
Sainte-Croix,01342,210103420,NC,Non classé
Saint-Cyr-Sur-Menthon,01343,210103438,,
Saint-Denis-Lès-Bourg,01344,210103446,LDVG,Gauche
Saint-Denis-En-Bugey,01345,210103453,LNC,Non classé
Saint-Didier-D'Aussiat,01346,210103461,NC,Non classé
Saint-Didier-De-Formans,01347,210103479,LNC,Non classé
Saint-Didier-Sur-Chalaronne,01348,210103487,LNC,Non classé
Saint-Eloi,01349,210103495,NC,Non classé
Saint-Etienne-Du-Bois,01350,210103503,LNC,Non classé
Saint-Etienne-Sur-Chalaronne,01351,210103511,,
Saint-Etienne-Sur-Reyssouze,01352,210103529,NC,Non classé
Sainte-Euphémie,01353,210103537,LNC,Non classé
Saint-Genis-Pouilly,01354,210103545,LDVG,Gauche
Saint-Genis-Sur-Menthon,01355,210103552,NC,Non classé
Saint-Georges-Sur-Renon,01356,210103560,NC,Non classé
Saint-Germain-De-Joux,01357,210103578,NC,Non classé
Saint-Germain-Les-Paroisses,01358,210103586,NC,Non classé
Saint-Germain-Sur-Renon,01359,210103594,NC,Non classé
Saint-Jean-De-Gonville,01360,210103602,LNC,Non classé
Saint-Jean-De-Niost,01361,210103610,LNC,Non classé
Saint-Jean-De-Thurigneux,01362,210103628,NC,Non classé
Saint-Jean-Le-Vieux,01363,210103636,LNC,Non classé
Saint-Jean-Sur-Reyssouze,01364,210103644,NC,Non classé
Saint-Jean-Sur-Veyle,01365,210103651,LNC,Non classé
Sainte-Julie,01366,210103669,LNC,Non classé
Saint-Julien-Sur-Reyssouze,01367,210103677,NC,Non classé
Saint-Julien-Sur-Veyle,01368,210103685,NC,Non classé
Saint-Just,01369,210103693,NC,Non classé
Saint-Laurent-Sur-Saône,01370,210103701,LNC,Non classé
Saint-Marcel,01371,210103719,LNC,Non classé
Saint-Martin-De-Bavel,01372,210103727,NC,Non classé
Saint-Martin-Du-Frêne,01373,210103735,LNC,Non classé
Saint-Martin-Du-Mont,01374,210103743,LNC,Non classé
Saint-Martin-Le-Châtel,01375,210103750,NC,Non classé
Saint-Maurice-De-Beynost,01376,210103768,LDVG,Gauche
Saint-Maurice-De-Gourdans,01378,210103784,LNC,Non classé
Saint-Maurice-De-Rémens,01379,210103792,NC,Non classé
Saint-Nizier-Le-Bouchoux,01380,210103800,NC,Non classé
Saint-Nizier-Le-Désert,01381,210103818,NC,Non classé
Sainte-Olive,01382,210103826,NC,Non classé
Saint-Paul-De-Varax,01383,210103834,,
Saint-Rambert-En-Bugey,01384,210103842,LNC,Non classé
Saint-Rémy,01385,210103859,NC,Non classé
Saint-Sorlin-En-Bugey,01386,210103867,LNC,Non classé
Saint-Sulpice,01387,210103875,NC,Non classé
Saint-Trivier-De-Courtes,01388,210103883,,
Saint-Trivier-Sur-Moignans,01389,210103891,LNC,Non classé
Saint-Vulbas,01390,210103909,LNC,Non classé
Salavre,01391,210103917,NC,Non classé
Samognat,01392,210103925,NC,Non classé
Sandrans,01393,210103933,NC,Non classé
Sault-Brénaz,01396,210103966,NC,Non classé
Sauverny,01397,210103974,LNC,Non classé
Savigneux,01398,210103982,LNC,Non classé
Ségny,01399,210103990,LNC,Non classé
Seillonnaz,01400,210104006,NC,Non classé
Sergy,01401,210104014,,
Sermoyer,01402,210104022,NC,Non classé
Serrières-De-Briord,01403,210104030,LNC,Non classé
Serrières-Sur-Ain,01404,210104048,NC,Non classé
Servas,01405,210104055,LNC,Non classé
Servignat,01406,210104063,NC,Non classé
Seyssel,01407,210104071,NC,Non classé
Simandre-Sur-Suran,01408,210104089,NC,Non classé
Sonthonnax-La-Montagne,01410,210104105,NC,Non classé
Souclin,01411,210104113,NC,Non classé
Sulignat,01412,210104121,NC,Non classé
Talissieu,01415,210104154,NC,Non classé
Tenay,01416,210104162,LNC,Non classé
Thil,01418,210104188,LNC,Non classé
Thoiry,01419,210104196,,
Thoissey,01420,210104204,LNC,Non classé
Torcieu,01421,210104212,NC,Non classé
Tossiat,01422,210104220,LNC,Non classé
Toussieux,01423,210104238,LNC,Non classé
Tramoyes,01424,210104246,LNC,Non classé
La Tranclière,01425,210104253,NC,Non classé
Val-Revermont,01426,200057347,LNC,Non classé
Trévoux,01427,210104279,LDVD,Droite
Valeins,01428,210104287,NC,Non classé
Vandeins,01429,210104295,NC,Non classé
Varambon,01430,210104303,NC,Non classé
Vaux-En-Bugey,01431,210104311,,
Verjon,01432,210104329,NC,Non classé
Vernoux,01433,210104337,NC,Non classé
Versailleux,01434,210104345,NC,Non classé
Versonnex,01435,210104352,LNC,Non classé
Vesancy,01436,210104360,NC,Non classé
Vescours,01437,210104378,NC,Non classé
Vésines,01439,210104394,NC,Non classé
Vieu-D'Izenave,01441,210104410,NC,Non classé
Villars-Les-Dombes,01443,210104436,LDVD,Droite
Villebois,01444,210104444,LNC,Non classé
Villemotier,01445,210104451,NC,Non classé
Villeneuve,01446,210104469,LNC,Non classé
Villereversure,01447,210104477,LNC,Non classé
Villes,01448,210104485,NC,Non classé
Villette-Sur-Ain,01449,210104493,NC,Non classé
Villieu-Loyes-Mollon,01450,210104501,LDVD,Droite
Viriat,01451,210104519,LDVD,Droite
Virieu-Le-Grand,01452,210104527,,
Arviere-En-Valromey,01453,200086403,NC,Non classé
Virignin,01454,210104543,,
Vongnes,01456,210104568,NC,Non classé
Vonnas,01457,210104576,LNC,Non classé
Abbécourt,02001,210200010,NC,Non classé
Achery,02002,210200028,NC,Non classé
Acy,02003,210200036,LNC,Non classé
Agnicourt-Et-Séchelles,02004,210200044,NC,Non classé
Aguilcourt,02005,210200051,NC,Non classé
Aisonville-Et-Bernoville,02006,210200069,NC,Non classé
Aizelles,02007,210200077,NC,Non classé
Aizy-Jouy,02008,210200085,NC,Non classé
Alaincourt,02009,210200093,NC,Non classé
Allemant,02010,210200101,NC,Non classé
Ambleny,02011,210200119,LNC,Non classé
Ambrief,02012,210200127,NC,Non classé
Amifontaine,02013,210200135,NC,Non classé
Amigny-Rouy,02014,210200143,NC,Non classé
Ancienville,02015,210200150,NC,Non classé
Andelain,02016,210200168,NC,Non classé
Anguilcourt-Le-Sart,02017,210200176,NC,Non classé
Anizy-Le-Grand,02018,200084135,LNC,Non classé
Annois,02019,210200192,NC,Non classé
Any-Martin-Rieux,02020,210200200,NC,Non classé
Archon,02021,210200218,NC,Non classé
Arcy-Sainte-Restitue,02022,210200226,NC,Non classé
Armentières-Sur-Ourcq,02023,210200234,NC,Non classé
Arrancy,02024,210200242,NC,Non classé
Artemps,02025,210200259,NC,Non classé
Assis-Sur-Serre,02027,210200275,NC,Non classé
Athies-Sous-Laon,02028,210200283,LNC,Non classé
Attilly,02029,210200291,NC,Non classé
Aubencheul-Aux-Bois,02030,210200309,NC,Non classé
Aubenton,02031,210200317,NC,Non classé
Aubigny-Aux-Kaisnes,02032,210200325,NC,Non classé
Aubigny-En-Laonnois,02033,210200333,NC,Non classé
Audignicourt,02034,210200341,NC,Non classé
Audigny,02035,210200358,NC,Non classé
Augy,02036,210200366,NC,Non classé
Aulnois-Sous-Laon,02037,210200374,LNC,Non classé
Les Autels,02038,210200382,NC,Non classé
Autremencourt,02039,210200390,NC,Non classé
Autreppes,02040,210200408,NC,Non classé
Autreville,02041,210200416,NC,Non classé
Azy-Sur-Marne,02042,210200424,NC,Non classé
Bagneux,02043,210200432,NC,Non classé
Bancigny,02044,210200440,NC,Non classé
Barenton-Bugny,02046,210200457,NC,Non classé
Barenton-Cel,02047,210200465,NC,Non classé
Barenton-Sur-Serre,02048,210200473,NC,Non classé
Barisis-Aux-Bois,02049,210200481,NC,Non classé
Barzy-En-Thiérache,02050,210200499,NC,Non classé
Barzy-Sur-Marne,02051,210200507,NC,Non classé
Bassoles-Aulers,02052,210200515,NC,Non classé
Vallées En Champagne,02053,200056307,NC,Non classé
Bazoches-Et-Saint-Thibaut,02054,210200531,NC,Non classé
Beaumé,02055,210200549,NC,Non classé
Beaumont-En-Beine,02056,210200556,NC,Non classé
Beaurevoir,02057,210200564,LNC,Non classé
Beaurieux,02058,210200572,NC,Non classé
Beautor,02059,210200580,LNC,Non classé
Beauvois-En-Vermandois,02060,210200598,NC,Non classé
Becquigny,02061,210200606,NC,Non classé
Belleau,02062,210200614,NC,Non classé
Bellenglise,02063,210200622,NC,Non classé
Belleu,02064,210200630,LDVG,Gauche
Bellicourt,02065,210200648,NC,Non classé
Benay,02066,210200655,NC,Non classé
Bergues-Sur-Sambre,02067,210200663,NC,Non classé
Berlancourt,02068,210200671,NC,Non classé
Berlise,02069,210200689,NC,Non classé
Bernot,02070,210200697,NC,Non classé
Berny-Rivière,02071,210200705,NC,Non classé
Berrieux,02072,210200713,NC,Non classé
Berry-Au-Bac,02073,210200721,NC,Non classé
Bertaucourt-Epourdon,02074,210200739,NC,Non classé
Berthenicourt,02075,210200747,NC,Non classé
Bertricourt,02076,210200754,NC,Non classé
Besmé,02078,210200770,NC,Non classé
Besmont,02079,210200788,NC,Non classé
Besny-Et-Loizy,02080,210200796,NC,Non classé
Béthancourt-En-Vaux,02081,210200804,NC,Non classé
Beugneux,02082,210200812,NC,Non classé
Beuvardes,02083,210200820,NC,Non classé
Bézu-Le-Guéry,02084,210200838,NC,Non classé
Bézu-Saint-Germain,02085,210200846,,
Bichancourt,02086,210208245,LNC,Non classé
Bieuxy,02087,210200853,NC,Non classé
Bièvres,02088,210200861,NC,Non classé
Billy-Sur-Aisne,02089,210200879,,
Billy-Sur-Ourcq,02090,210200887,NC,Non classé
Blanzy-Lès-Fismes,02091,210200895,NC,Non classé
Blérancourt,02093,210200903,LNC,Non classé
Blesmes,02094,210200911,NC,Non classé
Bohain-En-Vermandois,02095,210200929,LDVG,Gauche
Bois-Lès-Pargny,02096,210200937,NC,Non classé
Boncourt,02097,210200945,NC,Non classé
Bonneil,02098,210200952,NC,Non classé
Bonnesvalyn,02099,210200960,NC,Non classé
Bony,02100,210200978,NC,Non classé
Bosmont-Sur-Serre,02101,210200986,NC,Non classé
Bouconville-Vauclair,02102,210200994,NC,Non classé
Boué,02103,210201000,LNC,Non classé
Bouffignereux,02104,210201018,NC,Non classé
Bouresches,02105,210201026,NC,Non classé
Bourg-Et-Comin,02106,210201034,NC,Non classé
Bourguignon-Sous-Coucy,02107,210201042,NC,Non classé
Bourguignon-Sous-Montbavin,02108,210201059,,
La Bouteille,02109,210201067,NC,Non classé
Braine,02110,210201075,LNC,Non classé
Brancourt-En-Laonnois,02111,210201083,NC,Non classé
Brancourt-Le-Grand,02112,210201091,NC,Non classé
Brasles,02114,210201109,LNC,Non classé
Braye-En-Laonnois,02115,210201117,NC,Non classé
Braye-En-Thiérache,02116,210201125,NC,Non classé
Bray-Saint-Christophe,02117,210208070,NC,Non classé
Braye,02118,210208088,NC,Non classé
Brécy,02119,210208096,NC,Non classé
Brenelle,02120,210208104,NC,Non classé
Breny,02121,210208146,NC,Non classé
Brie,02122,210201133,NC,Non classé
Brissay-Choigny,02123,210208112,NC,Non classé
Brissy-Hamégicourt,02124,210208120,NC,Non classé
Brumetz,02125,210208153,NC,Non classé
Bruyères-Sur-Fère,02127,210201158,NC,Non classé
Bruyères-Et-Montbérault,02128,210201166,LNC,Non classé
Bruys,02129,210201174,NC,Non classé
Bucilly,02130,210201182,NC,Non classé
Bucy-Le-Long,02131,210208161,LNC,Non classé
Bucy-Lès-Cerny,02132,210201190,NC,Non classé
Bucy-Lès-Pierrepont,02133,210201208,NC,Non classé
Buire,02134,210201216,NC,Non classé
Buironfosse,02135,210201224,LNC,Non classé
Burelles,02136,210201232,NC,Non classé
Bussiares,02137,210201240,NC,Non classé
Buzancy,02138,210201257,NC,Non classé
Caillouël-Crépigny,02139,210201265,NC,Non classé
Camelin,02140,210201273,NC,Non classé
La Capelle,02141,210201281,LNC,Non classé
Castres,02142,210201299,NC,Non classé
Le Catelet,02143,210201307,NC,Non classé
Caulaincourt,02144,210201315,NC,Non classé
Caumont,02145,210201323,NC,Non classé
Celles-Lès-Condé,02146,210201331,NC,Non classé
Celles-Sur-Aisne,02148,210201356,NC,Non classé
Cerizy,02149,210201364,NC,Non classé
Cerny-En-Laonnois,02150,210201372,NC,Non classé
Cerny-Lès-Bucy,02151,210201380,NC,Non classé
Cerseuil,02152,210201398,NC,Non classé
Cessières-Suzy,02153,200086338,NC,Non classé
Chacrise,02154,210201414,NC,Non classé
Chaillevois,02155,210201422,NC,Non classé
Chalandry,02156,210201430,NC,Non classé
Chamouille,02158,210201455,NC,Non classé
Champs,02159,210201463,NC,Non classé
Chaourse,02160,210201471,NC,Non classé
La Chapelle-Sur-Chézy,02162,210201497,NC,Non classé
Charly-Sur-Marne,02163,210201505,LNC,Non classé
Le Charmel,02164,210201513,NC,Non classé
Charmes,02165,210201521,LNC,Non classé
Chartèves,02166,210201539,NC,Non classé
Chassemy,02167,210201547,NC,Non classé
Château-Thierry,02168,210201554,LDVC,Centre
Châtillon-Lès-Sons,02169,210201562,NC,Non classé
Châtillon-Sur-Oise,02170,210201570,NC,Non classé
Chaudardes,02171,210201588,NC,Non classé
Chaudun,02172,210201596,NC,Non classé
Chauny,02173,210201604,LDVC,Centre
Chavignon,02174,210201612,NC,Non classé
Chavigny,02175,210201620,NC,Non classé
Chavonne,02176,210201638,NC,Non classé
Chérêt,02177,210201646,NC,Non classé
Chermizy-Ailles,02178,210201653,NC,Non classé
Chéry-Chartreuve,02179,210201661,NC,Non classé
Chéry-Lès-Pouilly,02180,210201679,NC,Non classé
Chéry-Lès-Rozoy,02181,210201687,NC,Non classé
Chevennes,02182,210201695,NC,Non classé
Chevregny,02183,210201703,NC,Non classé
Chevresis-Monceau,02184,210201711,NC,Non classé
Chézy-En-Orxois,02185,210201729,NC,Non classé
Chézy-Sur-Marne,02186,210201737,LNC,Non classé
Chierry,02187,210201745,LNC,Non classé
Chigny,02188,210201752,NC,Non classé
Chivres-En-Laonnois,02189,210201760,NC,Non classé
Chivres-Val,02190,210201778,NC,Non classé
Chivy-Lès-Etouvelles,02191,210201786,NC,Non classé
Chouy,02192,210201794,NC,Non classé
Cierges,02193,210208260,NC,Non classé
Cilly,02194,210201810,NC,Non classé
Ciry-Salsogne,02195,210201828,,
Clacy-Et-Thierret,02196,210201836,NC,Non classé
Clairfontaine,02197,210201802,NC,Non classé
Clamecy,02198,210201844,NC,Non classé
Clastres,02199,210201851,NC,Non classé
Clermont-Les-Fermes,02200,210201869,NC,Non classé
Coeuvres-Et-Valsery,02201,210201877,NC,Non classé
Coincy,02203,210201885,LNC,Non classé
Coingt,02204,210201893,NC,Non classé
Colligis-Crandelain,02205,210201901,NC,Non classé
Colonfay,02206,210201919,NC,Non classé
Commenchon,02207,210201927,NC,Non classé
Concevreux,02208,210201935,NC,Non classé
Condé-En-Brie,02209,210201943,NC,Non classé
Condé-Sur-Aisne,02210,210201950,NC,Non classé
Condé-Sur-Suippe,02211,210201968,NC,Non classé
Condren,02212,210201976,NC,Non classé
Connigis,02213,210201984,NC,Non classé
Contescourt,02214,210201992,NC,Non classé
