Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Cleyzieu,01107,PEYSSON,Jean,18/05/2020
Coligny,01108,RAFFIN,Bruno,18/05/2020
Collonges,01109,PERREAL,Lionel,18/05/2020
Conand,01111,GARIBIAN,Françoise,28/06/2020
Condamine,01112,VAILLOUD,Damien,18/05/2020
Condeissiat,01113,GAUTIER,Stephen,18/05/2020
Confort,01114,BRIQUE,Daniel,18/05/2020
Confrançon,01115,BUELLET,Jean Paul,18/05/2020
Contrevoz,01116,BALASTRIER,Jean-Daniel,18/05/2020
Conzieu,01117,PEZANT,Pascal,18/05/2020
Corlier,01121,DUPONT,Jean-François,18/05/2020
Cormoranche-Sur-Saône,01123,PALLOT,Jacques,28/06/2020
Cormoz,01124,SCHWEITZER,Nicolas,18/05/2020
Corveissiat,01125,GINDRE,Jonathan,18/05/2020
Courmangoux,01127,MORNAY,Mireille,18/05/2020
Courtes,01128,PALLEGOIX,Thierry,18/05/2020
Crans,01129,MORTREUX,Françoise,18/05/2020
Bresse Vallons,01130,GRIGNOLA-BERNARD,Virginie,18/05/2020
Cressin-Rochefort,01133,CHIFFE,Frédéric,18/05/2020
Crottet,01134,LHOTELAIS,Jean-Philippe,18/05/2020
Crozet,01135,JOUANNET,Martine,18/05/2020
Cruzilles-Lès-Mépillat,01136,BOYER,Dominique,18/05/2020
Culoz-Béon,01138,ANDRE-MASSE,Franck,01/01/2023
Curciat-Dongalon,01139,FLEURY,Didier,18/05/2020
Curtafond,01140,LABALME,Christian,18/05/2020
Cuzieu,01141,CROSNIER,Laurence,18/05/2020
Dagneux,01142,PEGUET,Jean-Christophe,24/03/2024
Divonne-Les-Bains,01143,SCATTOLIN,Vincent,18/05/2020
Dompierre-Sur-Veyle,01145,TABOURET,Martine,18/05/2020
Dompierre-Sur-Chalaronne,01146,MUNERET,Didier,18/05/2020
Domsure,01147,VACLE,Patrick,28/06/2020
Dortan,01148,DUBARE,Marianne,18/05/2020
Douvres,01149,LIMOUSIN,Christian,18/05/2020
Drom,01150,GUILLOT,Michel,18/05/2020
Druillat,01151,EMIN,Jean-Luc,18/05/2020
Echallon,01152,PERNOD,Thierry,28/06/2020
Echenevex,01153,PASSUELLO,Isabelle,18/05/2020
Evosges,01155,GUILLET,Christophe,18/05/2020
