Libellé de la commune,Code de la commune,Nom de l'élu,Prénom de l'élu,Date de début du mandat
Aubais,30019,POBO,Angel,18/05/2020
Aubord,30020,BRUNDU,André,18/05/2020
Aubussargues,30021,CHABALIER,Christian,18/05/2020
Aujac,30022,LARMAGNAT,Patrick,28/06/2020
Aujargues,30023,CHLUDA,Bernard,18/05/2020
Aulas,30024,MONTET,Bruno,18/05/2020
Aumessas,30025,BARRAL,Philippe,28/06/2020
Avèze,30026,VOLLE-WILD,Martine,18/05/2020
Bagard,30027,BAZALGETTE,Thierry,18/05/2020
Bagnols-Sur-Cèze,30028,CHAPELET,Jean-Yves,28/06/2020
Barjac,30029,CHAULET,Edouard,18/05/2020
Baron,30030,PETIT,Christian,18/05/2020
La Bastide-D'Engras,30031,GISBERT,Pascal,18/05/2020
Beaucaire,30032,CHAUDON,Nelson,18/05/2020
Beauvoisin,30033,CAYZAC,Mylène,28/06/2020
Bellegarde,30034,MARTINEZ,Juan,18/05/2020
Belvézet,30035,LAFONT,Michel,28/06/2020
Bernis,30036,GRANCHI,Théos,18/05/2020
Bessèges,30037,PORTALES,Bernard,18/05/2020
Bez-Et-Esparon,30038,CASTOR,Romaric,18/05/2020
Bezouce,30039,MARCOS,Antoine,18/05/2020
Blandas,30040,WELLER,Marc,18/05/2020
Blauzac,30041,BOURDANOVE,Serge,18/05/2020
Boisset-Et-Gaujac,30042,ALLIÉ,Philippe,18/05/2020
Boissières,30043,FOUCON,Marc,18/05/2020
Bonnevaux,30044,BOUSSAC,Roseline,18/05/2020
Bordezac,30045,LAURENT,Thierry,18/05/2020
Boucoiran-Et-Nozières,30046,VIDAL,Jean-Jacques,18/05/2020
Bouillargues,30047,GAILLARD,Maurice,18/05/2020
Bouquet,30048,FERRIERE,Catherine,18/05/2020
Bourdic,30049,GERVAIS,Christophe,18/05/2020
Bragassargues,30050,ZUCCONI,Jean-Pierre,18/05/2020
Branoux-Les-Taillades,30051,VIGNE,Michel,18/05/2020
Bréau-Mars,30052,DURAND,Alain,18/05/2020
Brignon,30053,BOUET,Rémy,28/06/2020
Brouzet-Lès-Quissac,30054,GAUBIAC,Laurent,18/05/2020
Brouzet-Lès-Alès,30055,TESTARD,Matthieu,18/05/2020
La Bruguière,30056,GODEFROY,Didier,18/05/2020
Cabrières,30057,GADILLE,Gilles,18/05/2020
La Cadière-Et-Cambo,30058,LAGARDE,Jean-Louis,18/05/2020
Le Cailar,30059,TENA,Joël,18/05/2020
Caissargues,30060,FABREGOUL,Olivier,18/05/2020
La Calmette,30061,BOLLEGUE,Jacques,18/05/2020
Calvisson,30062,SAUZÈDE,André,18/05/2020
Campestre-Et-Luc,30064,BRUNEL,Jean-Marie,18/05/2020
Canaules-Et-Argentières,30065,CAHU,Robert,18/05/2020
Cannes-Et-Clairan,30066,SERRET,Sandrine,02/10/2022
La Capelle-Et-Masmolène,30067,GAYTE,Xavier,18/05/2020
Cardet,30068,CRUVEILLER,Fabien,18/05/2020
Carnas,30069,ROUDIL,Joël,18/05/2020
Carsan,30070,VANDEMEULEBROUCKE,Brigitte,18/05/2020
Cassagnoles,30071,FURESTIER,David,18/05/2020
Castelnau-Valence,30072,BOUGAREL,Christophe,18/05/2020
Castillon-Du-Gard,30073,DHERBECOURT,Muriel,18/05/2020
Causse-Bégon,30074,EVESQUE,Christian,18/05/2020
Caveirac,30075,CHAILAN,Jean-Luc,28/06/2020
Cavillargues,30076,NADAL,Laurent,18/05/2020
Cendras,30077,ANDRE,Sylvain,18/05/2020
Chambon,30079,SASSO,Marc,18/05/2020
Chamborigaud,30080,CORBIER,Emile,18/05/2020
Chusclan,30081,PEYRIERE,Pascal,18/05/2020
Clarensac,30082,GERVAIS,Patrick,18/05/2020
Codognan,30083,GRAS,Philippe,18/05/2020
Codolet,30084,BAYART,Sébastien,18/05/2020
Collias,30085,PIRE,Jonathan,28/06/2020
Collorgues,30086,REGHENAS,Micheline,28/06/2020
Colognac,30087,BRESSET,Cyrille,18/05/2020
Combas,30088,DEBOUVERIE,Michel,18/05/2020
Comps,30089,ROCHETTE,Jean-Jacques,18/05/2020
Concoules,30090,MALAVAL,Jean-Marie,28/06/2020
Congénies,30091,DHUISME,Fabienne,18/05/2020
Connaux,30092,MAURIN,Stéphane,18/05/2020
Conqueyrac,30093,DAUTHEVILLE,Jacques,18/05/2020
Corconne,30095,JEAN,Lionel,18/05/2020
Cornillon,30096,DELALIEU,Gilles,28/06/2020
Courry,30097,BERNARD,Jean,18/05/2020
Crespian,30098,VANDAMME,Pascale,18/05/2020
Cros,30099,CLAVEL,Christian,18/05/2020
Cruviers-Lascours,30100,FIARD,Fabien,18/05/2020
Deaux,30101,SALLES,Didier,18/05/2020
Dions,30102,THEOTIME,Gérard,18/05/2020
Domazan,30103,DONNET,Louis,18/05/2020
Domessargues,30104,CLEMENT,Bernard,18/05/2020
Dourbies,30105,LEBEAU,Irène,18/05/2020
Durfort-Et-Saint-Martin-De-Sossenac,30106,CONDOMINES,Robert,28/06/2020
Estézargues,30107,LAGUÉRIE,Martine,18/05/2020
L'Estréchure,30108,HILAIRE,Jacques,18/05/2020
Euzet,30109,OZIL,Cyril,18/05/2020
Flaux,30110,JUVIN,Denis,18/05/2020
Foissac,30111,AMALRIC,Joël,18/05/2020
Fons,30112,GIANNACCINI,Maryse,18/05/2020
Fons-Sur-Lussan,30113,GUIHERMET,Jean-Bernard,18/05/2020
Fontanès,30114,THEROND,Alain,18/05/2020
Fontarèches,30115,MEJEAN,Patrick,18/05/2020
Fournès,30116,BOUDINAUD,Thierry,18/05/2020
Fourques,30117,DUMAS,Gilles,18/05/2020
Fressac,30119,MARTIN,Laurent,18/05/2020
Gagnières,30120,MARTIN,Olivier,18/05/2020
Gailhan,30121,SIPEIRE,Jacky,18/05/2020
Gajan,30122,POUDEVIGNE,Jean-Louis,18/05/2020
Gallargues-Le-Montueux,30123,CERDA,Freddy,18/05/2020
Le Garn,30124,MERCIER,Julie,28/06/2020
Garons,30125,RODRIGUEZ,Yves,18/05/2020
Garrigues-Sainte-Eulalie,30126,KIELPINSKI,Didier,18/05/2020
Gaujac,30127,SEUBE,Maria,18/05/2020
Générac,30128,TOUZELLIER,Frédéric,18/05/2020
Générargues,30129,JACOT,Thierry,28/06/2020
Génolhac,30130,CHERON,Guy,18/05/2020
Goudargues,30131,MAHLER,Fred,18/05/2020
La Grand-Combe,30132,BALDIT,Laurence,18/05/2020
Le Grau-Du-Roi,30133,CRAUSTE,Robert,28/06/2020
Issirac,30134,RIEU,José,18/05/2020
Jonquières-Saint-Vincent,30135,FOURNIER,Jean-Marie,18/05/2020
Junas,30136,PELLET,Marie-José,18/05/2020
Lamelouze,30137,BIONDINI,Bruno,18/05/2020
Langlade,30138,PREVOTEAU,Gaëtan,18/05/2020
Lanuéjols,30139,VIGNE,Alexandre,18/05/2020
Lasalle,30140,DE LATOUR,Henri,28/06/2020
Laudun-L'Ardoise,30141,CAZORLA,Yves,18/05/2020
Laval-Pradel,30142,BARBA,Joseph,18/05/2020
Laval-Saint-Roman,30143,ROY-CROS,Muriel,18/05/2020
Lecques,30144,POHER,Bernadette,18/05/2020
Lédenon,30145,BEAUME,Frédéric,18/05/2020
Lédignan,30146,CAUVIN,Bernard,18/05/2020
Lézan,30147,TORREILLES,Eric,18/05/2020
Liouc,30148,JAHANT,Guy,28/06/2020
Lirac,30149,CLEMENTE,Cédric,18/05/2020
Logrian-Florian,30150,CASTELLVI,Jean-Marie,18/05/2020
Lussan,30151,FRANÇOIS,Jean-Marc,18/05/2020
Les Mages,30152,GIOVINAZZO,Alain,18/05/2020
Mandagout,30154,GRIEU,Emmanuel,18/05/2020
Manduel,30155,GRANAT,Jean-Jacques,28/06/2020
Marguerittes,30156,NICOLAS,Rémi,28/06/2020
Martignargues,30158,VIC,Jérôme,18/05/2020
Le Martinet,30159,MERCIER,Michel,18/05/2020
Maruéjols-Lès-Gardon,30160,FELIX,Freddy,18/05/2020
Massanes,30161,CHAPELLIER,Laurent,18/05/2020
Massillargues-Attuech,30162,GENOLHER,Aurélie,18/05/2020
Mauressargues,30163,LEFEVRE,Christine,18/05/2020
Méjannes-Le-Clap,30164,BASSIER,Jérôme,18/05/2020
Méjannes-Lès-Alès,30165,TEISSIER,Christian,18/05/2020
Meynes,30166,FOURNIER,Fabrice,18/05/2020
Meyrannes,30167,BERNARD,Wladimir,18/05/2020
Mialet,30168,VERRIEZ,Jack,28/06/2020
Milhaud,30169,DESCLOUX,Jean-Luc,28/06/2020
Molières-Cavaillac,30170,BERANGER,Laurence,18/05/2020
Molières-Sur-Cèze,30171,BOUIS,Florence,18/05/2020
Monoblet,30172,CASTANON,Philipe,18/05/2020
Mons,30173,BANQUET,Gérard,18/05/2020
Montaren-Et-Saint-Médiers,30174,LEVESQUE,Frédéric,18/05/2020
Montclus,30175,TRICHOT,Benoit,18/05/2020
Montdardier,30176,VIRELY,Philippe,18/05/2020
Monteils,30177,FONTAINE,Patrick,28/06/2020
Montfaucon,30178,ROBELET,Olivier,18/05/2020
Montfrin,30179,TREMOULET,Éric,18/05/2020
Montignargues,30180,POIGNET-SENGER,Véronique,18/05/2020
Montmirat,30181,GRANIER,François,18/05/2020
Montpezat,30182,ANDRIUZZI,Jean-Michel,18/05/2020
Moulézan,30183,MALAVAL,Denis,18/05/2020
Moussac,30184,SALLE-LAGARDE,Frédéric,18/05/2020
Mus,30185,BENEZECH,Patrick,18/05/2020
Nages-Et-Solorgues,30186,CHAMBELLAND,Michel,18/05/2020
Navacelles,30187,CLEMENÇON,Bruno,18/05/2020
Ners,30188,PUPET,Patrice,18/05/2020
Nîmes,30189,FOURNIER,Jean-Paul,28/06/2020
Orsan,30191,DUCROS,Bernard,18/05/2020
Orthoux-Sérignac-Quilhan,30192,ROQUE,Jean-Michel,28/06/2020
Parignargues,30193,COUDERC,Ivan,18/05/2020
Peyremale,30194,SILHOL,Guy,18/05/2020
Peyrolles,30195,ABBOU,François,18/05/2020
Le Pin,30196,PALISSE,Patrick,18/05/2020
Les Plans,30197,BARONI,Gérard,18/05/2020
Les Plantiers,30198,BOSIO,Alexis,18/05/2020
Pommiers,30199,TOUREILLE,Denis,30/05/2021
Pompignan,30200,FOUGAIROLLE,Michel,28/06/2020
Pont-Saint-Esprit,30202,SEGAL,Valère,28/04/2024
Portes,30203,PINAIRE,Catherine,18/05/2020
Potelières,30204,ANDRÉ,Jean-Paul,18/05/2020
Pougnadoresse,30205,SERRE,Dominique,18/05/2020
Poulx,30206,COMPEYRON,Sylvie,18/05/2020
Pouzilhac,30207,ASTIER,Thierry,18/05/2020
Puechredon,30208,GRAS,Guillaume,18/05/2020
Quissac,30210,CATHALA,Serge,18/05/2020
Redessan,30211,RICHARD-TRINQUIER,Fabienne,18/05/2020
Remoulins,30212,CARTAILLER,Nicolas,28/06/2020
Revens,30213,MACQ,Madeleine,18/05/2020
Ribaute-Les-Tavernes,30214,ITIER,Frédéric,18/05/2020
Rivières,30215,ITIER,Jean-Marie,18/05/2020
Robiac-Rochessadoule,30216,CHALVIDAN,Henri,18/05/2020
Rochegude,30218,DUMAS,Patrick,18/05/2020
Rogues,30219,DURAND,Martine,18/05/2020
Roquedur,30220,SANDRÉ,Bernard,18/05/2020
La Roque-Sur-Cèze,30222,GAUTIER,Robert,18/05/2020
Rousson,30223,CHASSARY,Ghislain,18/05/2020
La Rouvière,30224,DE GONZAGA,Patrick,18/05/2020
Sabran,30225,NICOLLE,Sylvie,18/05/2020
Saint-Alexandre,30226,BERTOLINI,Jacques,18/05/2020
Saint-Ambroix,30227,DE FARIA,Jean-Pierre,18/05/2020
Sainte-Anastasie,30228,TIXADOR,Gilles,18/05/2020
Saint-André-De-Majencoules,30229,BOISSON,Christophe,28/06/2020
Saint-André-De-Roquepertuis,30230,MICHEL,Fabienne,18/05/2020
Saint-André-De-Valborgne,30231,BOURELLY,Régis,18/05/2020
Saint-André-D'Olérargues,30232,LACOUSSE,Nathalie,18/05/2020
Saint-Bauzély,30233,DURAND,Jacques,18/05/2020
Saint-Bénézet,30234,BARON,Jérôme,18/05/2020
Saint-Bonnet-Du-Gard,30235,MOULIN,Jean-Marie,18/05/2020
Saint-Bonnet-De-Salendrinque,30236,MAGNY,Sébastien,28/06/2020
Saint-Brès,30237,CHARPENTIER,Jean-Pierre,18/05/2020
Saint-Bresson,30238,DARLOT,Patrick,18/05/2020
Sainte-Cécile-D'Andorge,30239,PEPIN,Jacques,18/05/2020
Saint-Césaire-De-Gauzignan,30240,GRAS,Frédéric,18/05/2020
Saint-Chaptes,30241,MAZAUDIER,Jean-Claude,18/05/2020
Saint-Christol-De-Rodières,30242,FORGEROU,Nathalie,18/05/2020
Saint-Christol-Lès-Alès,30243,BÉNÉZET,Jean-Charles,18/05/2020
Saint-Clément,30244,RENNER,Sylvain,28/06/2020
Saint-Côme-Et-Maruéjols,30245,VERDIER,Michel,18/05/2020
Sainte-Croix-De-Caderle,30246,LAFONT,Ginette,13/10/2024
Saint-Denis,30247,MOLIERES,Sylvette,18/05/2020
Saint-Dézéry,30248,DAILCROIX,Bernard,18/05/2020
Saint-Dionisy,30249,GREGOIRE,Jean-Christophe,28/06/2020
Saint-Etienne-De-L'Olm,30250,HUGUET,Johanna,18/05/2020
Saint-Etienne-Des-Sorts,30251,MARCELLIN,Stéphane,19/06/2022
Saint-Félix-De-Pallières,30252,SALA,Michel,18/05/2020
Saint-Florent-Sur-Auzonnet,30253,KUCHARCZAK,Denis,18/02/2024
Saint-Geniès-De-Comolas,30254,JOUVE,Olivier,18/05/2020
Saint-Geniès-De-Malgoirès,30255,DURAND-COUTELLE,Jean-François,18/05/2020
Saint-Gervais,30256,CHAPUY,Raymond,18/05/2020
Saint-Gervasy,30257,VINCENT,Joël,18/05/2020
Saint-Gilles,30258,VALADIER,Eddy,18/05/2020
Saint-Hilaire-De-Brethmas,30259,PERRET,Jean-Michel,28/06/2020
Saint-Hilaire-D'Ozilhan,30260,OZENDA,Liliane,18/05/2020
Saint-Hippolyte-De-Caton,30261,FROMENTAL,Philippe,18/05/2020
Saint-Hippolyte-De-Montaigu,30262,BARBERI,Bernard,18/05/2020
Saint-Hippolyte-Du-Fort,30263,OLIVIERI,Bruno,18/05/2020
Saint-Jean-De-Ceyrargues,30264,DAUTUN,Georges,18/05/2020
Saint-Jean-De-Crieulon,30265,CUENOT,Jean-Louïs,28/06/2020
Saint-Jean-De-Maruéjols-Et-Avéjan,30266,DAUBLON,Thierry,28/06/2020
Saint-Jean-De-Serres,30267,ROUX,Andrée,18/05/2020
Saint-Jean-De-Valériscle,30268,JEKAL,Marc,28/06/2020
Saint-Jean-Du-Gard,30269,AIGUILLON,Pierre,28/06/2020
Saint-Jean-Du-Pin,30270,LOPEZ DUBREUIL,Julie,28/06/2020
Saint-Julien-De-Cassagnas,30271,MILESI,Pascal,18/05/2020
Saint-Julien-De-Peyrolas,30273,SALAU,Claude,18/05/2020
Saint-Julien-Les-Rosiers,30274,BORD,Serge,18/05/2020
Saint-Just-Et-Vacquières,30275,BUREL,Jean-Michel,18/05/2020
Saint-Laurent-D'Aigouze,30276,FÉLINE,Thierry,18/05/2020
Saint-Laurent-De-Carnols,30277,AUBANEL,Guy,18/05/2020
Saint-Laurent-Des-Arbres,30278,BARRIEU VIGNAL,Sylvie,11/04/2021
Saint-Laurent-La-Vernède,30279,GUARDIOLA,Joseph,18/05/2020
Saint-Laurent-Le-Minier,30280,BELTOISE,Bruno,28/06/2020
Saint-Mamert-Du-Gard,30281,BERGOGNE,Catherine,18/05/2020
Saint-Marcel-De-Careiret,30282,BERGERI,Carole,18/05/2020
Saint-Martin-De-Valgalgues,30284,CERPEDES,Claude,18/05/2020
Saint-Maurice-De-Cazevieille,30285,GUIRAUD,David,18/05/2020
Saint-Maximin,30286,ARQUÉ,Henri Pierre,18/05/2020
Saint-Michel-D'Euzet,30287,PETITJEAN,Elian,18/05/2020
Saint-Nazaire,30288,MISSOUR,Gérald,18/05/2020
Saint-Nazaire-Des-Gardies,30289,MAZAURIC,Pierre,18/10/2020
Saint-Paulet-De-Caisson,30290,SERRE,Christophe,18/05/2020
Saint-Paul-La-Coste,30291,CHAPON,Adrien,18/05/2020
Saint-Pons-La-Calm,30292,ROCHE,Jean,18/05/2020
Saint-Privat-De-Champclos,30293,FLANDIN,Jean-François,18/05/2020
Saint-Privat-Des-Vieux,30294,RIBOT,Philippe,18/05/2020
Saint-Quentin-La-Poterie,30295,BONZI,Yvon,18/05/2020
Saint-Sauveur-Camprieu,30297,AMASSE,Nicole,18/05/2020
Saint-Sébastien-D'Aigrefeuille,30298,MANIFACIER,Guy,18/05/2020
Saint-Siffret,30299,VINCENT,Dominique,18/05/2020
Saint-Théodorit,30300,SOULIER,Cyril,18/05/2020
Saint-Victor-Des-Oules,30301,ALVARO,Marie-Michèle,18/05/2020
Saint-Victor-La-Coste,30302,HERBÉ,Véronique,18/05/2020
Saint-Victor-De-Malcap,30303,DÉSIRA-NADAL,Mireille,18/05/2020
Salazac,30304,GUIGUE,Sophie,18/05/2020
Salindres,30305,MALACHANNE,Etienne,18/05/2020
Salinelles,30306,LARROQUE,Marc,18/05/2020
Les Salles-Du-Gardon,30307,BRIOUDES,Georges,18/05/2020
Sanilhac-Sagriès,30308,VEYRUNES,Denis,18/05/2020
Sardan,30309,TARNOWSKI,Gabrielle,18/05/2020
Saumane,30310,ANGELI,Laurette,28/06/2020
Sauve,30311,GAILLARD,Olivier,18/05/2020
Sauzet,30313,ARTAL,Joseph,18/05/2020
Savignargues,30314,LAURENT,Stéphanie,18/05/2020
Sénéchas,30316,MEURTIN,René,18/05/2020
Sernhac,30317,DUPRET,Gaël,18/05/2020
Servas,30318,VARIN D'AINVELLE,Roch,18/05/2020
Serviers-Et-Labaume,30319,MAZIER,Francis,18/05/2020
Seynes,30320,JONQUET,Thierry,18/05/2020
Sommières,30321,MARTINEZ,Pierre,28/06/2020
Soudorgues,30322,VAN PETEGHEM,Bertrand,18/05/2020
Soustelle,30323,RIBOT,Georges,18/05/2020
Souvignargues,30324,LECERF,Catherine,28/06/2020
Tavel,30326,PHILIP,Claude,28/06/2020
Tharaux,30327,GUILLAUME,Denis,18/05/2020
Théziers,30328,GARCIA-FAVAND,Murielle,28/03/2021
Thoiras-Corbès,30329,ANDRE,Lionel,01/01/2025
Tornac,30330,VIGNE,Marielle,18/05/2020
Tresques,30331,PISSAS,Alexandre,18/05/2020
Trèves,30332,VALGALIER,Régis,18/05/2020
Uchaud,30333,LEON,Joffrey,18/05/2020
Uzès,30334,CHAPON,Jean-Luc,18/05/2020
Vabres,30335,PUDDU,Jean Noël,18/05/2020
Vallabrègues,30336,GILLES,Jean-Marie,28/03/2021
Vallabrix,30337,RIEU,Bernard,18/05/2020
Vallérargues,30338,EKEL,Dominique,18/05/2020
Val-D'Aigoual,30339,GAUTHIER,Joël,18/05/2020
Valliguières,30340,TRAPIER,Laurence,18/05/2020
Vauvert,30341,DENAT,Jean,28/06/2020
Vénéjan,30342,ESTELLE,Gérard,18/05/2020
Verfeuil,30343,PESENTI,Chantal,18/05/2020
Vergèze,30344,FORTUNAT-DESCHAMPS,Pascale,18/05/2020
La Vernarède,30345,MIAILLE,Christian,18/05/2020
Vers-Pont-Du-Gard,30346,SAUZET,Olivier,18/05/2020
Vestric-Et-Candiac,30347,LAURENT,Jean-François,18/05/2020
Vézénobres,30348,OMBRAS,Sébastien,18/05/2020
Vic-Le-Fesq,30349,MONEL,José,18/05/2020
Le Vigan,30350,ARNAL,Sylvie,18/05/2020
Villevieille,30352,MARQUIER,Cécile,18/05/2020
Vissec,30353,PONS,Laurent,18/05/2020
Montagnac,30354,MARQUET,Daniel,18/05/2020
Saint-Paul-Les-Fonts,30355,LOPEZ,André,18/05/2020
Rodilhan,30356,PLANES,Patrice,18/05/2020
Les Brunels,11054,DE LORBEAU,Philippe,18/05/2020
Agassac,31001,ANE,Serge,18/05/2020
Aignes,31002,RAMOND,Patrice,18/05/2020
Aigrefeuille,31003,ANDRE,Christian,18/05/2020
Ayguesvives,31004,MAUREL,Alain,18/05/2020
Alan,31005,BEAUSOR,Francis,28/06/2020
Albiac,31006,ROUGÉ,Cédric,18/05/2020
Ambax,31007,MIQUEL,Daniel,18/05/2020
Anan,31008,BRIOL,Laurent,18/05/2020
Antichan-De-Frontignes,31009,DUMAIL,Bernard Jean Pierre,18/05/2020
Antignac,31010,COMET,Sylvain,18/05/2020
Arbas,31011,CAZES,Jean,18/05/2020
Arbon,31012,ESPARBES,André,28/06/2020
Ardiège,31013,BERRE,Dominique,28/06/2020
Arguenos,31014,ROUX,Michelle,18/05/2020
Argut-Dessous,31015,JACQUARD,Claude,28/06/2020
Arlos,31017,RIBIS,Jean-Marc,28/06/2020
Arnaud-Guilhem,31018,VIALATTE,Jean-Pierre,18/05/2020
Artigue,31019,CAU,Marcel,18/05/2020
Aspet,31020,BILLAUD-CHAOUI,Jean-Sébastien,28/06/2020
Aspret-Sarrat,31021,NOGUES,Lydie,18/05/2020
Aucamville,31022,ANDRE,Gérard,18/05/2020
Aulon,31023,DURROUX,Jean-Claude,18/05/2020
Auragne,31024,PACHER,René,18/05/2020
Aureville,31025,ESPIC,François Xavier,18/05/2020
Auriac-Sur-Vendinelle,31026,PEDRERO,Roger,18/05/2020
Auribail,31027,MARQUIER,Serge,18/05/2020
Aurignac,31028,LOSEGO,Jean-Michel,18/05/2020
Aurin,31029,VERCRUYSSE,Sandrine,18/05/2020
Ausseing,31030,PARIS,Gilles,18/05/2020
Ausson,31031,BARRAU,Yves-Pierre,18/05/2020
Aussonne,31032,BEUILLÉ,Michel,28/06/2020
Auterive,31033,AZEMA,René,18/05/2020
Auzas,31034,BALLESTER,Arlette,18/05/2020
Auzeville-Tolosane,31035,LAGARDE,Dominique,18/05/2020
Auzielle,31036,SEGAFREDO,Michele,18/05/2020
Avignonet-Lauragais,31037,MALMAISON,Patricia,09/10/2022
Bachas,31039,BRINI,Bouziane,18/05/2020
Bachos,31040,PELAYO,Gabriel,18/05/2020
Bagiry,31041,CLEMENT,Alexandra,18/05/2020
Bagnères-De-Luchon,31042,AZÉMAR,Eric,25/06/2023
Balesta,31043,DASQUE,Jean-Charles,18/05/2020
Balma,31044,TERRAIL-NOVÈS,Vincent,18/05/2020
Barbazan,31045,STRADERE,Michelle,18/05/2020
Baren,31046,LABIT,Didier,28/03/2021
Bax,31047,MANFRIN,Jean-Marc,18/05/2020
Baziège,31048,ROUSSEL,Jean,18/05/2020
Bazus,31049,GALY,Brigitte Viviane,18/05/2020
Beauchalot,31050,PICARD,Jean-Luc,18/05/2020
Beaufort,31051,PARÉDÉ,Daniel,18/05/2020
Beaumont-Sur-Lèze,31052,CARTÉ,Olivier,18/05/2020
Beaupuy,31053,FERNANDEZ,Marc,18/05/2020
Beauteville,31054,MILHES,Marius Paul René,18/05/2020
Beauville,31055,POUS,Thierry,18/05/2020
Beauzelle,31056,RODRIGUES,Patrice,18/05/2020
Belberaud,31057,SORROCHE,Rafael,18/05/2020
Belbèze-De-Lauragais,31058,GAVEN,Catherine,18/05/2020
Belbèze-En-Comminges,31059,JOUBE,Raymond,18/05/2020
Bélesta-En-Lauragais,31060,GOUXETTE,Jean-Luc,18/05/2020
Bellegarde-Sainte-Marie,31061,CAZEAUX-CALVET,Martine,18/05/2020
Bellesserre,31062,NOEL,Sebastien,18/05/2020
Benque,31063,LASSERRE,Jean-Claude,18/05/2020
Benque-Dessous-Et-Dessus,31064,DARDÉ,Jean-Paul,18/05/2020
Bérat,31065,BLANC,Paul-Marie,18/05/2020
Bessières,31066,MAUREL,Cédric,18/05/2020
Bezins-Garraux,31067,DAT,Jean-Michel,18/05/2020
Billière,31068,LAFONT,Céline,18/05/2020
Blagnac,31069,CARLES,Joseph,18/05/2020
Blajan,31070,CASTEX,Jean-Bernard,18/05/2020
Bois-De-La-Pierre,31071,WAWRZYNIAK,Stéphane,28/06/2020
Boissède,31072,FRECHOU,Alain,18/05/2020
Bondigoux,31073,ROUX,Didier,18/05/2020
Bonrepos-Riquet,31074,SEILLES,Philippe,18/05/2020
Bonrepos-Sur-Aussonnelle,31075,CHEBELIN,Thierry,18/05/2020
Bordes-De-Rivière,31076,CAPERAN,Geneviève,18/05/2020
Le Born,31077,SABATIER,Robert,28/06/2020
Boudrac,31078,CLARENS,Gilles,18/05/2020
Bouloc,31079,TERRANCLE,Serge,18/05/2020
Boulogne-Sur-Gesse,31080,BOUBÉE,Alain,18/05/2020
Bourg-D'Oueil,31081,JAMME,Henri,18/05/2020
Bourg-Saint-Bernard,31082,CESSES,Evelyne,18/05/2020
Boussan,31083,BOUBE,Patrick,18/05/2020
Boussens,31084,SANS,Christian,18/05/2020
Boutx,31085,MELAZZINI,Fabien,18/05/2020
Bouzin,31086,PASSAMENT,Alain,18/05/2020
Bragayrac,31087,DESCHAMPS,Gilbert,18/05/2020
Brax,31088,ZANATTA,Thierry,28/06/2020
Bretx,31089,ESPIE,Jean-Claude,18/05/2020
Brignemont,31090,BOUSSAROT,Jérôme,18/05/2020
Bruguières,31091,SIGU,Arnaud,18/05/2020
Burgalays,31092,CASTEX,Claude,18/05/2020
Le Burgaud,31093,ZANETTI,Laurent,18/05/2020
Buzet-Sur-Tarn,31094,JOVIADO,Gilles,18/05/2020
Cabanac-Cazaux,31095,FAVAREL,Gilles,18/05/2020
Cabanac-Séguenville,31096,NARGUET,Anne-Marie,18/05/2020
Le Cabanial,31097,ROUVILLAIN,Thierry,18/05/2020
Cadours,31098,LAFFONT,Didier,18/05/2020
Caignac,31099,BARTHES,Serge Jean Honore,28/06/2020
Calmont,31100,PORTET,Christian,18/05/2020
Cambernard,31101,BOLLATI,Pierre Antoine Remy,18/05/2020
Cambiac,31102,ADROIT,Sophie,18/05/2020
Canens,31103,BAUDINIERE,Julien,18/05/2020
Capens,31104,DANES,Richard,18/05/2020
Caragoudes,31105,CLARET,Jean-Jacques,18/05/2020
Caraman,31106,NAVARRO,Karine,23/06/2024
Carbonne,31107,TURREL,Denis,18/05/2020
Cardeilhac,31108,BOYER,Raymond,18/05/2020
Cassagnabère-Tournas,31109,VIGNES,Philippe,18/05/2020
Cassagne,31110,SOUQUET,Philippe,18/05/2020
Castagnac,31111,VARELA,Marie-Josée,18/05/2020
Castagnède,31112,CANAL,Martine,18/05/2020
Castanet-Tolosan,31113,NORMAND,Xavier,28/06/2020
Castelbiague,31114,RIBET,Henri,18/05/2020
Castelgaillard,31115,DUCLOS,Robert,18/05/2020
Castelginest,31116,CARNEIRO,Grégoire,18/05/2020
Castelmaurou,31117,ESQUERRE,Diane,18/05/2020
Castelnau-D'Estrétefonds,31118,SIGAL,Sandrine,18/05/2020
Castelnau-Picampeau,31119,CAZALOT,Christian,18/05/2020
Le Castéra,31120,GONZALEZ,Yvan,18/05/2020
Castéra-Vignoles,31121,POUZOL,Thierry,18/05/2020
Casties-Labrande,31122,MAUMUS,Jean-François,18/05/2020
Castillon-De-Larboust,31123,CRAMPE,Philippe,18/05/2020
Castillon-De-Saint-Martory,31124,SUDRE,Patrick,18/05/2020
Cathervielle,31125,EMPORTES,Christian,18/05/2020
Caubiac,31126,LAMARQUE,Jacques,18/05/2020
Caubous,31127,GOUZY,José,28/06/2020
Caujac,31128,FREYCHE,Émilie,18/05/2020
Cazarilh-Laspènes,31129,DENARD,Jean Paul,18/05/2020
Cazaril-Tambourès,31130,LEFRANC,Gérard,18/05/2020
Cazaunous,31131,ABADIE,Jean-Benoit,28/06/2020
Cazaux-Layrisse,31132,DORE,Jean-Pierre,18/05/2020
Cazeaux-De-Larboust,31133,ESCOLE,Simon,28/06/2020
Cazeneuve-Montaut,31134,TESSER,Christian,18/05/2020
Cazères,31135,DEFIS,Raymond,03/12/2023
